,id_bacha,id_interno,name_interno,Unnamed: 3,precio_bacha,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
294,LL056.0344,2312,PROCENEX LIQUIDO X 1800ML LAVANDA **,21.0,0.0,0.0,193.0,140.0,0.0,193.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 1800ML
295,LL056.0341,2313,PROCENEX LIQUIDO X 1800ML LIMON **,21.0,0.0,0.0,193.0,140.0,0.0,193.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 1800ML
296,LL056.0347,2314,PROCENEX LIQUIDO X 1800ML MARINA **,21.0,0.0,0.0,193.0,140.0,0.0,193.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 1800ML
297,LL056.0350,2316,PROCENEX LIQUIDO X 1800ML PINO **,21.0,0.0,0.0,193.0,140.0,0.0,193.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 1800ML
298,LL056.0289,2310,PROCENEX LIQUIDO X 900ML AROMA BEBE **,21.0,0.0,0.0,92.0,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 900ML
299,LL054.0028,2298,PROCENEX LIQUIDO X 900ML BLANCO **,21.0,82.5,45.0,140.0,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 900ML
300,LL054.0028,2299,PROCENEX LIQUIDO X 900ML BRISA BOSQUE,21.0,0.0,0.0,92.0,0.0,0.0,92.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 900ML
301,LL056.0296,2300,PROCENEX LIQUIDO X 900ML FLOR JARDIN **,21.0,0.0,0.0,92.0,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 900ML
302,LL056.0299,2301,PROCENEX LIQUIDO X 900ML JAZMIN **,21.0,0.0,0.0,92.0,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 900ML
303,LL056.0302,2303,PROCENEX LIQUIDO X 900ML LAVANDA **,21.0,0.0,0.0,92.0,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,PROCENEX,,,,,,,PROCENEX LIMP. PARA PISOS X 900ML
